n_dims,type,dims,scoring,weights,kendall
1,attentive,FORM,Euclidean,fixed,0.20253661642745638
1,attentive,FORM,Euclidean,optimized,0.2022570583606344
1,attentive,FORM,InnerProduct,fixed,0.2277564025419586
1,attentive,FORM,InnerProduct,optimized,0.2293849734852167
1,attentive,FORM,Manhattan,fixed,0.20253661642745638
1,attentive,FORM,Manhattan,optimized,0.2022629448159398
1,pre-attentive,FORM,Euclidean,fixed,0.19785855329717705
1,pre-attentive,FORM,Euclidean,optimized,0.19811573969559076
1,pre-attentive,FORM,InnerProduct,fixed,0.2222860866021108
1,pre-attentive,FORM,InnerProduct,optimized,0.2220518335062906
1,pre-attentive,FORM,Manhattan,fixed,0.19785855329717705
1,pre-attentive,FORM,Manhattan,optimized,0.1981459488193488
2,attentive,FORM-LINES,Euclidean,fixed,0.24086911384246934
2,attentive,FORM-LINES,Euclidean,optimized,0.24196906174459576
2,attentive,FORM-LINES,InnerProduct,fixed,0.2730727480792469
2,attentive,FORM-LINES,InnerProduct,optimized,0.27910192109242515
2,attentive,FORM-LINES,Manhattan,fixed,0.25103764705259635
2,attentive,FORM-LINES,Manhattan,optimized,0.2526401107164711
2,pre-attentive,FORM-LINES,Euclidean,fixed,0.24835534210584934
2,pre-attentive,FORM-LINES,Euclidean,optimized,0.24768355812856288
2,pre-attentive,FORM-LINES,InnerProduct,fixed,0.26400059896241984
2,pre-attentive,FORM-LINES,InnerProduct,optimized,0.26365176487312636
2,pre-attentive,FORM-LINES,Manhattan,fixed,0.254036165671527
2,pre-attentive,FORM-LINES,Manhattan,optimized,0.25388846435643847
3,attentive,FORM-LINES-ORIENTATION,Euclidean,fixed,0.3353057167302677
3,attentive,FORM-LINES-ORIENTATION,Euclidean,optimized,0.33876503679113024
3,attentive,FORM-LINES-ORIENTATION,InnerProduct,fixed,0.35352753412790827
3,attentive,FORM-LINES-ORIENTATION,InnerProduct,optimized,0.35439251925155746
3,attentive,FORM-LINES-ORIENTATION,Manhattan,fixed,0.33949548048231803
3,attentive,FORM-LINES-ORIENTATION,Manhattan,optimized,0.34174113082134794
3,pre-attentive,FORM-LINES-ORIENTATION,Euclidean,fixed,0.32742482526526684
3,pre-attentive,FORM-LINES-ORIENTATION,Euclidean,optimized,0.326935610317597
3,pre-attentive,FORM-LINES-ORIENTATION,InnerProduct,fixed,0.3507470821397901
3,pre-attentive,FORM-LINES-ORIENTATION,InnerProduct,optimized,0.3465015760727085
3,pre-attentive,FORM-LINES-ORIENTATION,Manhattan,fixed,0.33449151194537297
3,pre-attentive,FORM-LINES-ORIENTATION,Manhattan,optimized,0.3345299775120119
2,attentive,FORM-ORIENTATION,Euclidean,fixed,0.3036051579627084
2,attentive,FORM-ORIENTATION,Euclidean,optimized,0.30488282689596347
2,attentive,FORM-ORIENTATION,InnerProduct,fixed,0.3162772892651719
2,attentive,FORM-ORIENTATION,InnerProduct,optimized,0.3156615559384103
2,attentive,FORM-ORIENTATION,Manhattan,fixed,0.30053488131524003
2,attentive,FORM-ORIENTATION,Manhattan,optimized,0.30119081116842794
2,pre-attentive,FORM-ORIENTATION,Euclidean,fixed,0.2868014424022026
2,pre-attentive,FORM-ORIENTATION,Euclidean,optimized,0.28612678859426577
2,pre-attentive,FORM-ORIENTATION,InnerProduct,fixed,0.3040634310953459
2,pre-attentive,FORM-ORIENTATION,InnerProduct,optimized,0.30310080758486796
2,pre-attentive,FORM-ORIENTATION,Manhattan,fixed,0.28913561462474296
2,pre-attentive,FORM-ORIENTATION,Manhattan,optimized,0.2869820721396779
1,attentive,LINES,Euclidean,fixed,0.17480416039111757
1,attentive,LINES,Euclidean,optimized,0.1737624247521316
1,attentive,LINES,InnerProduct,fixed,0.15948560513357907
1,attentive,LINES,InnerProduct,optimized,0.15911962189369402
1,attentive,LINES,Manhattan,fixed,0.17480416039111757
1,attentive,LINES,Manhattan,optimized,0.17375586594300602
1,pre-attentive,LINES,Euclidean,fixed,0.1672881793594154
1,pre-attentive,LINES,Euclidean,optimized,0.16848166137503434
1,pre-attentive,LINES,InnerProduct,fixed,0.15780239001402038
1,pre-attentive,LINES,InnerProduct,optimized,0.15821147108848013
1,pre-attentive,LINES,Manhattan,fixed,0.1672881793594154
1,pre-attentive,LINES,Manhattan,optimized,0.16812997870674723
2,attentive,LINES-ORIENTATION,Euclidean,fixed,0.27419521516340783
2,attentive,LINES-ORIENTATION,Euclidean,optimized,0.27340181899083654
2,attentive,LINES-ORIENTATION,InnerProduct,fixed,0.26808429552615026
2,attentive,LINES-ORIENTATION,InnerProduct,optimized,0.2672979441740898
2,attentive,LINES-ORIENTATION,Manhattan,fixed,0.2769541166381638
2,attentive,LINES-ORIENTATION,Manhattan,optimized,0.2779268718592762
2,pre-attentive,LINES-ORIENTATION,Euclidean,fixed,0.25256416231508655
2,pre-attentive,LINES-ORIENTATION,Euclidean,optimized,0.2521534750269866
2,pre-attentive,LINES-ORIENTATION,InnerProduct,fixed,0.26412518307458094
2,pre-attentive,LINES-ORIENTATION,InnerProduct,optimized,0.259361350133947
2,pre-attentive,LINES-ORIENTATION,Manhattan,fixed,0.263590797497309
2,pre-attentive,LINES-ORIENTATION,Manhattan,optimized,0.2615576414064561
1,attentive,ORIENTATION,Euclidean,fixed,0.1992745781870135
1,attentive,ORIENTATION,Euclidean,optimized,0.199405574985332
1,attentive,ORIENTATION,InnerProduct,fixed,0.19181918312883375
1,attentive,ORIENTATION,InnerProduct,optimized,0.19241443391101978
1,attentive,ORIENTATION,Manhattan,fixed,0.1992745781870135
1,attentive,ORIENTATION,Manhattan,optimized,0.19939489046556397
1,pre-attentive,ORIENTATION,Euclidean,fixed,0.18809373941024407
1,pre-attentive,ORIENTATION,Euclidean,optimized,0.18874832819735937
1,pre-attentive,ORIENTATION,InnerProduct,fixed,0.1770701225942742
1,pre-attentive,ORIENTATION,InnerProduct,optimized,0.17787738627566657
1,pre-attentive,ORIENTATION,Manhattan,fixed,0.18809373941024407
1,pre-attentive,ORIENTATION,Manhattan,optimized,0.18932056676872105
